stop_name,time_1,time_2,time_3,time_4,time_5,time_6,route
釜の橋,08:26:00,09:40:00,12:00:00,13:15:00,14:40:00,18:40:00,内回り
杉瓜入口,08:27:00,09:41:00,12:01:00,13:16:00,14:41:00,18:41:00,内回り
風越団地,08:28:00,09:42:00,12:02:00,13:17:00,14:42:00,18:42:00,内回り
軽井沢発地市庭,08:37:00,09:51:00,12:11:00,13:26:00,14:51:00,18:51:00,内回り
風越公園,08:38:00,09:52:00,12:12:00,13:27:00,14:52:00,18:52:00,内回り
小倉の里,08:38:00,09:52:00,12:12:00,13:27:00,14:52:00,18:52:00,内回り
南保育園前,08:39:00,09:53:00,12:13:00,13:28:00,14:53:00,18:53:00,内回り
下発地入口,08:40:00,09:54:00,12:14:00,13:29:00,14:54:00,18:54:00,内回り
ほっち交流館,08:41:00,09:55:00,12:15:00,13:30:00,14:55:00,18:55:00,内回り
下発地,08:42:00,09:56:00,12:16:00,13:31:00,14:56:00,18:56:00,内回り
発地橋,08:43:00,09:57:00,12:17:00,13:32:00,14:57:00,18:57:00,内回り
上発地,08:45:00,09:59:00,12:19:00,13:34:00,14:59:00,18:59:00,内回り
馬取,08:50:00,10:04:00,12:24:00,13:39:00,15:04:00,19:04:00,内回り
ニュータウン入り口,08:50:00,10:04:00,12:24:00,13:39:00,15:04:00,19:04:00,内回り
治安のいしずえ前,08:51:00,10:05:00,12:25:00,13:40:00,15:05:00,19:05:00,内回り
押立山下,08:52:00,10:06:00,12:26:00,13:41:00,15:06:00,19:06:00,内回り
馬越,08:52:00,10:06:00,12:26:00,13:41:00,15:06:00,19:06:00,内回り
軽井沢72ゴルフ,08:53:00,10:07:00,12:27:00,13:42:00,15:07:00,19:07:00,内回り
南軽井沢,08:53:00,10:07:00,12:27:00,13:42:00,15:07:00,19:07:00,内回り
柳橋,08:54:00,10:08:00,12:28:00,13:43:00,15:08:00,19:08:00,内回り
南軽井沢交差点,08:55:00,10:09:00,12:29:00,13:44:00,15:09:00,19:09:00,内回り
成沢,08:55:00,10:09:00,12:29:00,13:44:00,15:09:00,19:09:00,内回り
入山峠入り口,08:57:00,10:11:00,12:31:00,13:46:00,15:11:00,19:11:00,内回り
新軽井沢,09:01:00,10:15:00,12:35:00,13:50:00,15:15:00,19:15:00,内回り
軽井沢駅,,,,,,,内回り
