route	stop_order	stop_name	time_1	time_2	time_3	time_4	time_5	time_9	time_10	time_11	time_12	time_13	time_14	time_8	time_6	time_7	time_15	time_16	time_18	time_19	time_20	
〈西部観光バス(軽井沢行き）〉	4	軽井沢駅	8:40:00	9:05	9:25	10:00	10:15	10:55	13:10	14:00	14:40	15:15	16:00	16:30	12:40	11:35	11:50	17:10	17:35	18:30	18:45	19:10
〈西部観光バス(万座方面）〉	1	中軽井沢駅		9:19	9:44	10:09	10:54	11:34	12:04	12:54	13:09	13:49	14:14	14:54	15:34	16:14	16:54	17:19	17:54	18:19	18:44	
〈西部観光バス(万座方面）〉	2	湯川		9:21	9:46	10:11	10:56	11:36	12:06	12:56	13:11	13:51	14:16	14:56	15:36	16:16	16:56	17:21	17:56	18:21	18:46	
〈西部観光バス(万座方面）〉	3	星野温泉トンボの湯		9:24	9:49	10:14	10:59	11:39	12:09	12:59	13:14	13:54	14:19	14:59	15:39	16:19	16:59	17:24	17:59	18:24	18:49	
〈西部観光バス(万座方面）〉	4	軽井沢千ヶ滝温泉				10:15			12:10		13:15		14:20		15:40						18:50	
〈西部観光バス(万座方面）〉	5	塩壺上																				
〈西部観光バス(万座方面）〉	6	西部軽井沢営業所				10:17			12:12		13:17		14:22		15:42						18:52	
〈西部観光バス(万座方面）〉	7	峰野茶屋				10:29			12:24		13:29		14:34		15:54							
〈西部観光バス(万座方面）〉	8	峰の茶屋				10:34			12:29		13:34		14:39		15:59							
〈西部観光バス(万座方面）〉	9	浅間山キャンプ場				10:39			12:35		13:39		14:45		16:04							
〈西部観光バス(万座方面）〉	10	鬼押出し園							12:38				14:48									
〈西部観光バス(万座方面）〉	11	すずらん坂							12:41				14:51									
〈西部観光バス(万座方面）〉	12	プリンスランド							12:46				14:56									
〈西部観光バス(万座方面）〉	13	鎌原観音堂前							12:58				15:08									
〈西部観光バス(万座方面）〉	14	万座・鹿沢口駅							13:09				15:19									
〈西部観光バス(万座方面）〉	15	嬬恋プリンスホテル前							13:19				15:29									
〈西部観光バス(万座方面）〉	16	嬬恋牧場 愛妻の鐘							13:37				15:47									
